start,end,id,total_len,country,mode,devicetype,language,consent,relationship,income_reference,income_year,income_month,income_week,country_birth_mother,country_birth_father,country_birth_partner,municipality_years,children_hh,children_out,childr_n_0to5,childr_n_6to15,others_n,grandchildren,pets__1,pets__2,pets__3,pets__4,pets__5,pets__6,contract,worklife_balance,telework,rand1,loneliness_djg_a,loneliness_djg_b,loneliness_djg_c,loneliness_djg_d,loneliness_djg_e,loneliness_djg_f,family_meet_face,family_meet_tele,family_n__1,family_n__1__open,friends_meet_face,friends_meet_tele,friends_n__1,friends_n__1__open,neighbours,social_support_a,social_support_b,social_support_c,social_support_d,relationship_happiness,social_activities_a,social_activities_b,social_activities_c,loneliness_ucla_a,loneliness_ucla_b,loneliness_ucla_c,relationship_need,loneliness_direct,loneliness_intensity,life_events__1,life_events__2,life_events__3,life_events__4,life_events__5,life_events__6,life_events__7,life_events__8,life_events__9,life_events__10,life_events__11,life_events__12,lost_spouse,interventions_heard,interventions_done__1,interventions_done__2,interventions_done__3,interventions_done__4,interventions_done__5,interventions_done__6,interventions_done__7,interventions_done__8,interventions_done__9,interventions_done__10,interventions_done__11,interventions_done__12,interventions_done__13,interventions_done__14,interventions_done__15,interventions_done__16,loneliness_work_a,loneliness_work_b,loneliness_work_c,loneliness_education_a,loneliness_education_b,loneliness_education_c,loneliness_stigma1,loneliness_stigma2,sm_purpose_a,sm_purpose_b,sm_purpose_c,sm_purpose_d,sm_purpose_e,sm_time_a,sm_time_b,sm_time_c,sm_time_d,feelings_nerv,feelings_hopel,feelings_restl,feelings_depr,feelings_worthl,risk_a,risk_b,risk_c,civic_attitudes_a,civic_attitudes_b,civic_attitudes_c,trust,vote,vote_open,child_health,child_health_relatives_1,child_health_relatives_2,child_health_relatives_3,child_health_relatives_4,child_health_relatives_5,child_health_relatives_6,child_relationship_a,child_relationship_b,child_friends,religion_child,religion_now,health_general,smoking,gender,date_birth_month,date_birth_year,age,age_class,country_birth_yourself,sex_orientation,education,adults_n,region_residence,municipality_type,work_status,main_job,occupation,nace_sector,income_source,exercise,health_condition,health_condition_intensity,w_country,w_country_5,w_design
28 Nov 22,07 Dec 22,1,1059.651,France,Online,Smartphone,fr,"Yes, I agree",In a relationship,Your household's monthly income,,Income decile 6,,France,France,France,1,0,0,0,0,0,,,,,,,No pet at home,,,,loneliness_ucla first,No,No,No,More or less,More or less,Yes,Every two weeks,Every two weeks,Number,1,Once a month,Every week,Number,2,About once a week,A little of the time,None of the time,A little of the time,All of the time,5,Every week,Every two months or less frequently,Daily,Some of the time,Some of the time,Some of the time,Every week,None of the time,,,,,,,,,,,,None of the above,,,Yes,,,,,,,,,,,,,,,,,,,,Sometimes,Most of the time,Most of the time,An issue that has implications for the individual as well as for the wider society,Feeling lonely is mostly due to factors and circumstances beyond a person’s control,Never,2 to 5 times a day,Never,2 to 5 times a day,2 to 5 times a day,1–2 hours per day,1–2 hours per day,1–2 hours per day,31–60 minutes per day,Rarely,Never,Rarely,Rarely,Never,6,4,2,10,4,Prefer not to say,4,La France insoumise (φ),,Fairly good,,,,Had mental health problems,,,6,7,Rarely,Never,Never,Average,"No, I don’t smoke at all",Male,November,1998,24,16-25,France,Heterosexual/straight,ISCED 3: Upper secondary education,1,Bourgogne - Franche-Comté,Small or medium-sized town,In education,,,,Wages or salaries,7 days,No,,3.0000451,3.0000451,1.0854439
07 Dec 22,07 Dec 22,2,1617.082,Poland,Online,Smartphone,pl,"Yes, I agree",Single,Your household's monthly income,,Income decile 8,,Poland,Poland,,24,0,0,0,0,0,,Cat,,,,,,Unlimited duration,7,I worked more than half time onsite at a workplace,loneliness_ucla first,More or less,No,No,Yes,Yes,Yes,Every week,Every week,Number,4,Once a month,Never,Number,7,Almost every day,Don’t know,Most of the time,Most of the time,Some of the time,,Never,Every week,Never,Some of the time,Some of the time,Some of the time,Every two weeks,None of the time,,,,,,,,,,,,None of the above,,,Yes,,,,,,,,,,,,,,,,,Rarely,Most of the time,Always,,,,An issue that has implications for the individual as well as for the wider society,People who feel lonely mostly have themselves to blame for their loneliness,Never,Never,Once a day or less,Once a day or less,Once a day or less,Never,Less than 10 minutes per day,2–3 hours per day,Never,Occasionally,Rarely,Occasionally,Very rarely,Never,4,7,8,8,3,7,8,Prawo i Sprawiedliwość (PiS),,Fairly good,Smoke heavily,Drink heavily,,,,,8,5,Always,Once a month,On specific holidays only,Fairly good,"No, I smoke less than 10 cigarettes on average per day",Male,February,1998,24,16-25,Poland,Heterosexual/straight,ISCED 3: Upper secondary education,2,Makroregion Pólnocny,Small or medium-sized town,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","An employee, working full-time","Skilled worker (e.g., foreman – motor mechanic – printer – tool and die maker – electrician)",Manufacturing or engineering,Wages or salaries,1 days,No,,3.0000999,3.000098,1.7312226
07 Dec 22,07 Dec 22,3,1394.005,Poland,Telephone,Laptop/PC,pl,"Yes, I agree",Married or cohabitating,Your household's monthly income,,Income decile 10,,Poland,Poland,Poland,50,1,1,0,0,0,No,Cat,,,,,,Unlimited duration,3,I worked more than half time onsite at a workplace,loneliness_djg first,No,No,No,Yes,Yes,Yes,Every week,Every week,Number,6,Every week,More than once a week,Number,20,Almost every day,Most of the time,Most of the time,Most of the time,Most of the time,10,Every two months or less frequently,Once a month,Once a month,Hardly ever or never,Hardly ever or never,Hardly ever or never,Every week,A little of the time,1,,,,,,,,,,Severe conflicts at work (with colleagues and/or manager),,,,No,"Seeing friends, family members, or other loved ones",Doing sports alone,,,,,,,,,Took time for myself,,,,,,Never,Most of the time,Most of the time,,,,An issue that has implications for the individual as well as for the wider society,Both equally,2 to 5 times a day,Never,Once a day or less,2 to 5 times a day,2 to 5 times a day,Less than 10 minutes per day,10-30 minutes per day,Never,1–2 hours per day,Very frequently,Very rarely,Very frequently,Occasionally,Very rarely,3,8,7,8,2,8,7,Koalicja Obywatelska (KO),,Very good,Smoke heavily,Drink heavily,,,,,10,5,Always,Once a week,Never,Very good,"No, I don’t smoke at all",Male,March,1971,51,46-55,Poland,Heterosexual/straight,ISCED 3: Upper secondary education,3,Makroregion Pólnocny,Large town/city,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","An employee, working full-time","Sales occupations (e.g., sales manager – shop owner – shop assistant – insurance agent)","Commerce, transport, accommodation or food services",Wages or salaries,1 days,No,,2.2313819,3.000098,1.000641
07 Dec 22,07 Dec 22,4,1383.7581,Poland,Telephone,Laptop/PC,pl,"Yes, I agree",Married or cohabitating,Your household's monthly income,,Income decile 4,,Poland,Poland,Poland,0,1,0,0,1,1,No,,Dog,,,,,Unlimited duration,7,I worked more than half time onsite at a workplace,loneliness_djg first,No,No,No,More or less,More or less,More or less,Every two weeks,Daily,Number,6,Every two months or less frequently,Daily,Number,2,Several times a week,Don’t know,All of the time,Most of the time,All of the time,8,Every two months or less frequently,Every two months or less frequently,Every two months or less frequently,Hardly ever or never,Hardly ever or never,Hardly ever or never,Every two weeks,None of the time,,,,,,,,COVID-19 infection of yourself,COVID-19 infection of a member of your household,,,,,,Yes,,,,,,,,,,,,,,,,,Never,Most of the time,Most of the time,,,,An issue that has implications for the individual as well as for the wider society,Both equally,Once a day or less,Never,Once a day or less,Once a day or less,Once a day or less,31–60 minutes per day,Less than 10 minutes per day,Never,1–2 hours per day,Very frequently,Never,Very rarely,Never,Never,9,6,6,7,3,5,7,Koalicja Obywatelska (KO),,Very good,,,,Had mental health problems,,,5,8,Sometimes,Once a month,On specific holidays only,Very good,"No, I don’t smoke at all",Female,October,1981,41,36-45,Poland,Heterosexual/straight,ISCED 6: Bachelor’s or equivalent level,2,Makroregion Poludniowy,Small or medium-sized town,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","An employee, working full-time",Don’t know,"Commerce, transport, accommodation or food services",Wages or salaries,4 days,No,,.21527687,.079099208,1.000641
07 Dec 22,07 Dec 22,5,1208.21,Poland,Telephone,Laptop/PC,pl,"Yes, I agree",Married or cohabitating,Your household's monthly income,,Income decile 8,,Poland,Poland,Poland,49,0,1,0,0,0,No,Cat,,,,Other,,Unlimited duration,10,I worked more than half time onsite at a workplace,loneliness_ucla first,No,No,No,Yes,Yes,Yes,More than once a week,More than once a week,Number,15,Every two weeks,More than once a week,Number,8,Almost every day,All of the time,All of the time,All of the time,All of the time,10,Never,Every two weeks,Once a month,Some of the time,Hardly ever or never,Hardly ever or never,More than once a week,None of the time,,,,,,,,,,,,None of the above,,,Yes,,,,,,,,,,,,,,,,,Never,Most of the time,Most of the time,,,,An issue that has implications for the individual as well as for the wider society,Both equally,6 to 15 times a day,2 to 5 times a day,6 to 15 times a day,2 to 5 times a day,6 to 15 times a day,1–2 hours per day,1–2 hours per day,31–60 minutes per day,1–2 hours per day,Occasionally,Never,Occasionally,Occasionally,Never,5,5,7,10,7,10,7,Koalicja Obywatelska (KO),,Fairly good,Smoke heavily,,,,,,8,7,Most of the time,Once a week,Never,Fairly good,"No, I don’t smoke at all",Female,March,1973,49,46-55,Poland,Heterosexual/straight,ISCED 3: Upper secondary education,2,Makroregion Poludniowy,Small or medium-sized town,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","An employee, working full-time","Clerical occupations (e.g., secretary – clerk – office manager – book keeper)","Commerce, transport, accommodation or food services",Wages or salaries,3 days,No,,3.0000999,3.000098,.50032049
07 Dec 22,07 Dec 22,6,815.79602,Sweden,Online,Smartphone,sv,"Yes, I agree",Married or cohabitating,Your household's monthly income,,Income decile 8,,PREFER NOT TO ANSWER,PREFER NOT TO ANSWER,PREFER NOT TO ANSWER,0,1,1,0,0,0,No,,Dog,,,,,Unlimited duration,8,I worked more than half time onsite at a workplace,loneliness_djg first,No,No,No,No,No,More or less,Never,Never,Number,3,Never,Never,Number,0,Almost every day,All of the time,All of the time,All of the time,All of the time,9,Never,Every two months or less frequently,Never,Hardly ever or never,Some of the time,Prefer not to say,Never,None of the time,,,,,,,,COVID-19 infection of yourself,,,,,,,No,,,,,,,,,,,,,,,,,Rarely,Most of the time,Never,,,,An issue that has implications for the individual as well as for the wider society,Don’t know,Never,Once a day or less,Never,2 to 5 times a day,Never,Less than 10 minutes per day,Never,Never,10-30 minutes per day,Very rarely,Very rarely,Never,Occasionally,Very rarely,1,3,6,10,2,Prefer not to say,2,Socialdemokraterna (S),,Average,Smoke heavily,Drink heavily,,Had mental health problems,,,7,5,Most of the time,Never,Never,Fairly poor,"No, I smoke less than 10 cigarettes on average per day",Male,August,1973,49,46-55,Sweden,Heterosexual/straight,ISCED 6: Bachelor’s or equivalent level,3,Södra Sverige,Small or medium-sized town,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","An employee, working full-time","Professional and technical occupations (e.g., doctor – teacher – engineer – artist – accountant)",Services relating to education,Wages or salaries,7 days,Yes,Don’t know,.86726081,.71883041,.86551613
06 Dec 22,06 Dec 22,7,1416.806,Sweden,Online,Smartphone,sv,"Yes, I agree",In a relationship,Your household's monthly income,,Income decile 5,,Sweden,Sweden,Sweden,17,2,0,0,2,0,No,,,Bird or fish,,,,Unlimited duration,10,I worked more than half time onsite at a workplace,loneliness_djg first,No,Yes,No,More or less,Yes,Yes,Once a month,Every week,Prefer not to say,,Every week,More than once a week,Prefer not to say,,Not applicable,Most of the time,All of the time,Most of the time,All of the time,9,Every two weeks,Once a month,Never,Hardly ever or never,Hardly ever or never,Hardly ever or never,Every two weeks,None of the time,,,,,,,,COVID-19 infection of yourself,COVID-19 infection of a member of your household,,,,,,Yes,,,,,,,,,,,,,,,,,Never,Rarely,Never,,,,An issue that has implications for the individual as well as for the wider society,Both equally,6 to 15 times a day,6 to 15 times a day,Once a day or less,2 to 5 times a day,6 to 15 times a day,1–2 hours per day,1–2 hours per day,10-30 minutes per day,2–3 hours per day,Never,Never,Very rarely,Very rarely,Never,8,2,2,1,2,6,5,Kristdemokraterna (KD),,Very good,Smoke heavily,,,,,,10,7,Most of the time,Never,Never,Fairly good,"No, I don’t smoke at all",Male,April,1980,42,36-45,Sweden,Heterosexual/straight,ISCED 5: Short-cycle tertiary education,1,Södra Sverige,Small or medium-sized town,"In paid work (or away temporarily) (employee, self-employed, working for your family business)","An employee, working full-time","Semi-skilled worker (e.g., bricklayer – bus driver – cannery worker – carpenter – sheet metal worker – baker)",Construction or building,Wages or salaries,3 days,Yes,"Yes, a little",1.0621541,1.5414249,1.1648675
06 Dec 22,06 Dec 22,8,1173.168,Sweden,Online,Smartphone,sv,"Yes, I agree",Married or cohabitating,Your household's monthly income,,Income decile 6,,Sweden,Sweden,Ethiopia,33,2,0,2,0,0,No,,,,,,No pet at home,,,,loneliness_djg first,More or less,No,No,Yes,Yes,Yes,More than once a week,More than once a week,Number,8,Every week,More than once a week,Number,10,Several times a week,Most of the time,Most of the time,Some of the time,All of the time,8,Every two weeks,Never,Never,Hardly ever or never,Hardly ever or never,Some of the time,More than once a week,A little of the time,3,,,,,,,COVID-19 infection of yourself,COVID-19 infection of a member of your household,,,,,,No,"Seeing friends, family members, or other loved ones",,,,,,,,,Used more social media,,,,,,,,,,,,,An issue that has implications for the individual as well as for the wider society,Feeling lonely is mostly due to factors and circumstances beyond a person’s control,2 to 5 times a day,2 to 5 times a day,Once a day or less,Once a day or less,2 to 5 times a day,31–60 minutes per day,10-30 minutes per day,Never,10-30 minutes per day,Rarely,Very rarely,Occasionally,Occasionally,Very rarely,2,5,6,10,10,8,8,Centerpartiet (C),,Very good,,,,,None of the above,,9,9,Always,Once a week,Once a month,Average,"No, I don’t smoke at all",Female,February,1989,33,26-35,Sweden,Heterosexual/straight,ISCED 5: Short-cycle tertiary education,2,Södra Sverige,Small or medium-sized town,"Doing housework, looking after children or other persons",,,,Wages or salaries,0 days,No,,.98274553,1.0103565,1.1433755
06 Dec 22,06 Dec 22,9,1131.111,Poland,Online,Laptop/PC,pl,"Yes, I agree",Single,Your household's weekly income,,,Income decile 5,Poland,Poland,,51,0,1,0,0,0,No,,,,,Other,,,,,loneliness_ucla first,No,No,No,More or less,Yes,No,Daily,Every week,Number,2,More than once a week,Daily,Number,2,Several times a week,Don’t know,All of the time,Some of the time,All of the time,,Never,Once a month,Every two weeks,Some of the time,Hardly ever or never,Hardly ever or never,More than once a week,A little of the time,8,,,,,,,,,,,,Prefer not to say,,Yes,,,Doing sports with others,,,,,,,,,,,,,,,,,,,,Don’t know,Feeling lonely is mostly due to factors and circumstances beyond a person’s control,2 to 5 times a day,2 to 5 times a day,Once a day or less,2 to 5 times a day,2 to 5 times a day,1–2 hours per day,10-30 minutes per day,Never,1–2 hours per day,Very rarely,Very rarely,Very frequently,Very rarely,Rarely,1,1,1,Prefer not to say,1,3,8,Koalicja Obywatelska (KO),,Fairly good,,,,,,Prefer not to say,8,3,Always,Never,Never,Average,"No, I don’t smoke at all",Male,June,1971,51,46-55,Poland,Heterosexual/straight,ISCED 3: Upper secondary education,1,Makroregion Pólnocny,Large town/city,Other,,,,Wages or salaries,3 days,No,,1.2582514,1.1057123,.56425035
06 Dec 22,06 Dec 22,10,1703.327,Poland,Telephone,Laptop/PC,pl,"Yes, I agree",Married or cohabitating,Your household's monthly income,,Income decile 6,,Poland,Poland,Poland,55,0,1,0,0,0,"Yes, but I do not look after them regularly",,Dog,,,,,,5,I worked more than half time onsite at a workplace,loneliness_ucla first,No,No,No,Yes,More or less,Yes,More than once a week,Daily,Number,6,More than once a week,Every week,Number,4,Almost every day,All of the time,Some of the time,All of the time,Most of the time,7,Never,Every week,Never,Often,Hardly ever or never,Hardly ever or never,Daily,A little of the time,1,,,,,,,,,,,None of the above,,,Yes,"Seeing friends, family members, or other loved ones",Doing sports alone,,,,,Contacted a church or religious organisation,,,Used more social media,Took time for myself,,,,,,Never,Most of the time,,,,,An issue that has implications for the individual as well as for the wider society,Both equally,Once a day or less,Once a day or less,Never,Once a day or less,Once a day or less,31–60 minutes per day,Less than 10 minutes per day,Never,10-30 minutes per day,Very frequently,Rarely,Rarely,Rarely,Rarely,7,6,8,10,2,5,10,Prawo i Sprawiedliwość (PiS),,Very good,,Drink heavily,,,,,10,5,Always,Once a week,Once a week,Very good,"No, I don’t smoke at all",Female,February,1959,63,56-65,Poland,Prefer not to answer,ISCED 3: Upper secondary education,2,Makroregion Pólnocny,Small or medium-sized town,"In paid work (or away temporarily) (employee, self-employed, working for your family business)",Self-employed,"Sales occupations (e.g., sales manager – shop owner – shop assistant – insurance agent)","Commerce, transport, accommodation or food services",Pensions,7 days,Prefer not to answer,,3.0000999,3.000098,1.000641
